,,,,,,,Month,,December,,,2010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mass flow rate of flowing medium,,,,,,,,0.0125,,,kg/s,,,,Salinity of LCZ,,,,,,16%,,,,,,,,,,,,
,Cpw,,,,,,,,4180,,,J/kg K,,,,Salinity of NCZ,,,,,,8%,,,,,,,,,,,,
,m* cpw,,,,,,,,52.25,,,W/K,,,,Pond was solar irradiated ,,,,,,30,days,,,,,,,,,,,
,Dimensions of Solar Pond,,,,,,,,1(W) x 1.2 (L) x 0.6 (H),,,,,,,,,,,,,,,,,,,,,,,,,
,Area of the Pond,,,,,,,,1.2,,,m2.,,0.3,,,,,,,,,,,,,DT2 is DTmax,,,,,,,
,Solar Simulator,,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,Various Temperatures of Solar Irradiated Ponds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Effectiveness,,
,T?,Twi,UCZ,NCZ,LCZ,,,Two,,,DT1=Two -Twi,,,Energy Extracted ( W ),,,,Pyranometer ,,Incident ,?Solar Pond ,,,,,DT2=LCZ-Twi,,,Qmax = m cp DT2,,,e =,Qact,
,ºC,ºC,ºC,ºC,ºC,ºC,ºC,ºC,ºC,ºC,ºC,ºC,ºC,Qact = m cp DT1,,,,Reading (W/m2),,Energy        ( W ),%,,,,,ºC,ºC,ºC,W,W,W,,Qmax,
,,,,,0,3,5,0,3,5,0,3,5,0,3,5,,,,,0,3,,5,,0,3,5,0,3,5,0,3,5
,,,,,,,,,,,,,,,,,April,May,June,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06:00,29.0,28.0,28.0,28.0,28,28,28,28.0,28.0,28.0,0.0,0.0,0.0,0.00,0.00,0.00,200.00,210,,252,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
06:30,29.0,28.0,28.0,28.0,28,28,28,28.0,28.0,28.0,0.0,0.0,0.0,0.00,0.00,0.00,260.00,280,,336,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
07:00,29.0,28.0,28.0,28.0,28,28,28,28.0,28.0,28.0,0.0,0.0,0.0,0.00,0.00,0.00,290.00,300,,360,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
07:30,30.0,29.0,29.0,29.0,29,29,29,29.0,29.0,29.2,0.0,0.0,0.2,0.00,0.00,10.45,312.00,320,,384,0.00,0.00,0.00,2.72,2.72,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
08:00,30.0,29.0,29.0,30.0,32,32,32,29.0,29.7,30.2,0.0,0.7,1.2,0.00,36.58,62.70,340.00,360,,432,0.00,8.47,8.47,14.51,14.51,3.0,3.0,3.0,156.75,156.75,156.75,0.00,0.23,0.40
08:30,30.0,29.0,29.0,31.0,33,33,33,30.0,30.4,30.6,1.0,1.4,1.6,52.25,73.15,83.60,390.00,420,,504,10.37,14.51,4.15,16.59,6.22,4.0,4.0,4.0,209.00,209.00,209.00,0.25,0.35,0.40
09:00,30.0,29.0,29.0,32.0,35,35,35,30.0,30.7,31.1,1.0,1.7,2.1,52.25,88.83,109.73,435.00,460,,552,9.47,16.09,6.63,19.88,10.41,6.0,6.0,6.0,313.50,313.50,313.50,0.17,0.28,0.35
09:30,31.0,29.0,29.0,33.0,37,37,37,30.3,31.0,31.5,1.3,2.0,2.5,67.93,104.50,130.63,540.00,500,,600,11.32,17.42,6.10,21.77,10.45,8.0,8.0,8.0,418.00,418.00,418.00,0.16,0.25,0.31
10:00,31.0,29.0,30.0,35.0,39,39,39,31.0,31.4,32.0,2.0,2.4,3.0,104.50,125.40,156.75,542.00,560,,672,15.55,18.66,3.11,23.33,7.78,10.0,10.0,10.0,522.50,522.50,522.50,0.20,0.24,0.30
10:30,32.0,30.0,30.0,36.0,41,41,41,32.0,32.8,33.5,2.0,2.8,3.5,104.50,146.30,182.88,598.00,640,,768,13.61,19.05,5.44,23.81,10.21,11.0,11.0,11.0,574.75,574.75,574.75,0.18,0.25,0.32
11:00,33.0,31.0,32.0,37.0,42,42,42,33.4,33.9,34.7,2.4,2.9,3.7,125.40,151.53,193.33,680.00,680,,816,15.37,18.57,3.20,23.69,8.32,11.0,11.0,11.0,574.75,574.75,574.75,0.22,0.26,0.34
11:30,34.0,32.0,33.0,36.0,44,44,44,34.5,35.0,36.0,2.5,3.0,4.0,130.63,156.75,209.00,715.00,800,,960,13.61,16.33,2.72,21.77,8.16,12.0,12.0,12.0,627.00,627.00,627.00,0.21,0.25,0.33
12:00,35.0,33.0,34.0,37.0,46,46,46,35.5,36.2,37.0,2.5,3.2,4.0,130.63,167.20,209.00,862.00,880,,1056,12.37,15.83,3.46,19.79,7.42,13.0,13.0,13.0,679.25,679.25,679.25,0.19,0.25,0.31
12:30,36.0,34.0,35.0,38.0,48,48,48,36.5,37.5,38.4,2.5,3.5,4.4,130.63,182.88,229.90,900.00,970,,1164,11.22,15.71,4.49,19.75,8.53,14.0,14.0,14.0,731.50,731.50,731.50,0.18,0.25,0.31
13:00,36.0,34.4,36.0,39.0,50,50,50,37.5,38.0,39.5,3.1,3.6,5.1,161.98,188.10,266.48,890.00,940,,1128,14.36,16.68,2.32,23.62,9.26,15.6,15.6,15.6,815.10,815.10,815.10,0.20,0.23,0.33
13:30,36.0,34.0,37.0,41.0,47,47,47,37.0,37.5,38.4,3.0,3.5,4.4,156.75,182.88,229.90,888.00,900,,1080,14.51,16.93,2.42,21.29,6.77,13.0,13.0,13.0,679.25,679.25,679.25,0.23,0.27,0.34
14:00,35.0,33.0,36.0,39.0,45,45,44,35.5,36.0,37.0,2.5,3.0,4.0,130.63,156.75,209.00,832.00,850,,1020,12.81,15.37,2.56,20.49,7.68,12.0,12.0,11.0,627.00,627.00,574.75,0.21,0.25,0.36
14:30,35.0,33.0,34.0,37.0,43,42,42,35.0,36.0,36.5,2.0,3.0,3.5,104.50,156.75,182.88,780.00,790,,948,11.02,16.53,5.51,19.29,8.27,10.0,9.0,9.0,522.50,470.25,470.25,0.20,0.33,0.39
15:00,34.0,33.0,34.0,35.0,41,39,39,35.0,35.2,36.0,2.0,2.2,3.0,104.50,114.95,156.75,740.00,760,,912,11.46,12.60,1.15,17.19,5.73,8.0,6.0,6.0,418.00,313.50,313.50,0.25,0.37,0.50
15:30,33.0,32.0,33.0,34.0,39,37.5,38,33.6,34.0,34.8,1.6,2.0,2.8,83.60,104.50,146.30,683.00,700,,840,9.95,12.44,2.49,17.42,7.46,7.0,5.5,6.0,365.75,287.38,313.50,0.23,0.36,0.47
16:00,33.0,32.5,33.0,34.0,37,36,36,33.5,34.0,34.6,1.0,1.5,2.1,52.25,78.38,109.73,611.00,640,,768,6.80,10.21,3.40,14.29,7.48,4.5,3.5,3.5,235.13,182.88,182.88,0.22,0.43,0.60
16:30,33.0,32.0,33.0,33.0,35,35,35,32.8,33.2,33.7,0.8,1.2,1.7,41.80,62.70,88.83,503.00,560,,672,6.22,9.33,3.11,13.22,7.00,3.0,3.0,3.0,156.75,156.75,156.75,0.27,0.40,0.57
17:00,32.0,32.0,32.0,32.0,33,32,34,32.0,32.5,33.0,0.0,0.5,1.0,0.00,26.13,52.25,430.00,460,,552,0.00,4.73,4.73,9.47,9.47,1.0,0.0,2.0,52.25,0.00,104.50,0.00,0.00,0.50
17:30,32.0,32.0,32.0,32.0,32,32,32,32.0,32.0,32.5,0.0,0.0,0.5,0.00,0.00,26.13,342.00,350,,420,0.00,0.00,0.00,6.22,6.22,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
18:00,31.0,32.0,32.0,32.0,32,32,32,32.0,32.0,32.0,0.0,0.0,0.0,0.00,0.00,0.00,238.00,300,,360,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Halogen Lamp of,,,,2000,,,,2000,,W,,,,,,,,,,,,
,,,,,,,,,,,,Radiant flux,,,,750,,,,750,,W/m2,,,,,,,,,,,,
,,,,,,,,,,,,Incident Energy,,,,900,,,,225,,,,,,,,,,,,,,
,,,,,,,,,,,,Q entering LCZ,,,,225,,,,,,W,,only 25% enters the LCZ,,,,,,,,0.27,0.43,0.60
,,,,,,,,,,,,Vol of LCZ,,,,0.24,,,,0.06,,m3,,,,,,,,,,,,
,,,,,,,,,,,,mass of LCZ,,,,240,,,,60,,kg,,,,,,,,,,,,
,,,,,,,,,,,,m Cp DT/s,,,,225,,,,225,,W,,,,,,,,,,,,
