Time,Tinf,Twi,UCZ,NCZ,LCZ0,LCZ3,LCZ5,Two0,Two3,Two5,T10,T13,T15,W0,W3,W5,April,May,June,W,n0,n3,n5,n5,,T20,T23,T25,Q0,Q3,Q5,E0,E3,E5
06:00,29.0,28.0,28.0,28.0,28,28,28,28.0,28.0,28.0,0.0,0.0,0.0,0.00,0.00,0.00,200,210,,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:30,29.0,28.0,28.0,28.0,28,28,28,28.0,28.0,28.0,0.0,0.0,0.0,0.00,0.00,0.00,260,280,,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:00,29.0,28.0,28.0,28.0,28,28,28,28.0,28.0,28.0,0.0,0.0,0.0,0.00,0.00,0.00,290,300,,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07:30,30.0,29.0,29.0,29.0,29,29,29,29.0,29.0,29.2,0.0,0.0,0.2,0.00,0.00,10.45,312,320,,384,0,0,0,2.721354167,2.721354167,0,0,0,0,0,0,0,0,0
08:00,30.0,29.0,29.0,30.0,32,32,32,29.0,29.7,30.2,0.0,0.7,1.2,0.00,36.58,62.70,340,360,,432,0,8.466435185,8.466435185,14.51388889,14.51388889,3,3,3,156.75,156.75,156.75,0,0.233333333,0.4
08:30,30.0,29.0,29.0,31.0,33,33,33,30.0,30.4,30.6,1.0,1.4,1.6,52.25,73.15,83.60,390,420,,504,10.36706349,14.51388889,4.146825397,16.58730159,6.220238095,4,4,4,209,209,209,0.25,0.35,0.4
09:00,30.0,29.0,29.0,32.0,35,35,35,30.0,30.7,31.1,1.0,1.7,2.1,52.25,88.83,109.73,435,460,,552,9.46557971,16.09148551,6.625905797,19.87771739,10.41213768,6,6,6,313.5,313.5,313.5,0.166666667,0.283333333,0.35
09:30,31.0,29.0,29.0,33.0,37,37,37,30.3,31.0,31.5,1.3,2.0,2.5,67.93,104.50,130.63,540,500,,600,11.32083333,17.41666667,6.095833333,21.77083333,10.45,8,8,8,418,418,418,0.1625,0.25,0.3125
10:00,31.0,29.0,30.0,35.0,39,39,39,31.0,31.4,32.0,2.0,2.4,3.0,104.50,125.40,156.75,542,560,,672,15.55059524,18.66071429,3.110119048,23.32589286,7.775297619,10,10,10,522.5,522.5,522.5,0.2,0.24,0.3
10:30,32.0,30.0,30.0,36.0,41,41,41,32.0,32.8,33.5,2.0,2.8,3.5,104.50,146.30,182.88,598,640,,768,13.60677083,19.04947917,5.442708333,23.81184896,10.20507813,11,11,11,574.75,574.75,574.75,0.181818182,0.254545455,0.318181818
11:00,33.0,31.0,32.0,37.0,42,42,42,33.4,33.9,34.7,2.4,2.9,3.7,125.40,151.53,193.33,680,680,,816,15.36764706,18.5692402,3.201593137,23.69178922,8.324142157,11,11,11,574.75,574.75,574.75,0.218181818,0.263636364,0.336363636
11:30,34.0,32.0,33.0,36.0,44,44,44,34.5,35.0,36.0,2.5,3.0,4.0,130.63,156.75,209.00,715,800,,960,13.60677083,16.328125,2.721354167,21.77083333,8.1640625,12,12,12,627,627,627,0.208333333,0.25,0.333333333
12:00,35.0,33.0,34.0,37.0,46,46,46,35.5,36.2,37.0,2.5,3.2,4.0,130.63,167.20,209.00,862,880,,1056,12.36979167,15.83333333,3.463541667,19.79166667,7.421875,13,13,13,679.25,679.25,679.25,0.192307692,0.246153846,0.307692308
12:30,36.0,34.0,35.0,38.0,48,48,48,36.5,37.5,38.4,2.5,3.5,4.4,130.63,182.88,229.90,900,970,,1164,11.22207904,15.71091065,4.488831615,19.75085911,8.528780069,14,14,14,731.5,731.5,731.5,0.178571429,0.25,0.314285714
13:00,36.0,34.4,36.0,39.0,50,50,50,37.5,38.0,39.5,3.1,3.6,5.1,161.98,188.10,266.48,890,940,,1128,14.35948582,16.67553191,2.316046099,23.62367021,9.264184397,15.6,15.6,15.6,815.1,815.1,815.1,0.198717949,0.230769231,0.326923077
13:30,36.0,34.0,37.0,41.0,47,47,47,37.0,37.5,38.4,3.0,3.5,4.4,156.75,182.88,229.90,888,900,,1080,14.51388889,16.93287037,2.418981481,21.28703704,6.773148148,13,13,13,679.25,679.25,679.25,0.230769231,0.269230769,0.338461538
14:00,35.0,33.0,36.0,39.0,45,45,44,35.5,36.0,37.0,2.5,3.0,4.0,130.63,156.75,209.00,832,850,,1020,12.80637255,15.36764706,2.56127451,20.49019608,7.683823529,12,12,11,627,627,574.75,0.208333333,0.25,0.363636364
